property,superproperty,last_word_superclass,last_word_subclass
http://dbpedia.org/ontology/causedBy,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs,causedBy,DUL.owl#sameSettingAs
http://dbpedia.org/ontology/cesarAward,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith,cesarAward,DUL.owl#coparticipatesWith
http://dbpedia.org/ontology/chairLabel,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs,chairLabel,DUL.owl#sameSettingAs
http://dbpedia.org/ontology/championInDouble,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasParticipant,championInDouble,DUL.owl#hasParticipant
http://dbpedia.org/ontology/championInDouble,http://dbpedia.org/ontology/champion,championInDouble,champion
http://dbpedia.org/ontology/championInSingle,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasParticipant,championInSingle,DUL.owl#hasParticipant
http://dbpedia.org/ontology/championInSingle,http://dbpedia.org/ontology/champion,championInSingle,champion
http://dbpedia.org/ontology/chaplain,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith,chaplain,DUL.owl#coparticipatesWith
http://dbpedia.org/ontology/chief,http://dbpedia.org/ontology/Leader,chief,Leader
http://dbpedia.org/ontology/chiefPlace,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasLocation,chiefPlace,DUL.owl#hasLocation
http://dbpedia.org/ontology/climate,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasQuality,climate,DUL.owl#hasQuality
http://dbpedia.org/ontology/cluster,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasPart,cluster,DUL.owl#hasPart
http://dbpedia.org/ontology/coExecutiveProducer,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith,coExecutiveProducer,DUL.owl#coparticipatesWith
http://dbpedia.org/ontology/coProducer,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith,coProducer,DUL.owl#coparticipatesWith
http://dbpedia.org/ontology/coachedTeam,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith,coachedTeam,DUL.owl#coparticipatesWith
http://dbpedia.org/ontology/codeIndex,http://dbpedia.org/ontology/code,codeIndex,code
http://dbpedia.org/ontology/codeListOfHonour,http://dbpedia.org/ontology/code,codeListOfHonour,code
http://dbpedia.org/ontology/codeMemorial,http://dbpedia.org/ontology/Code,codeMemorial,Code
http://dbpedia.org/ontology/codeMunicipalMonument,http://dbpedia.org/ontology/code,codeMunicipalMonument,code
http://dbpedia.org/ontology/codeNationalMonument,http://dbpedia.org/ontology/code,codeNationalMonument,code
http://dbpedia.org/ontology/codeProvincialMonument,http://dbpedia.org/ontology/code,codeProvincialMonument,code
http://dbpedia.org/ontology/codeStockExchange,http://dbpedia.org/ontology/code,codeStockExchange,code
http://dbpedia.org/ontology/colleague,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith,colleague,DUL.owl#coparticipatesWith
http://dbpedia.org/ontology/collectionSize,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasRegion,collectionSize,DUL.owl#hasRegion
http://dbpedia.org/ontology/comic,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs,comic,DUL.owl#sameSettingAs
http://dbpedia.org/ontology/commandant,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs,commandant,DUL.owl#sameSettingAs
http://dbpedia.org/ontology/commandant,http://dbpedia.org/ontology/keyPerson,commandant,keyPerson
http://dbpedia.org/ontology/commune,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasPart,commune,DUL.owl#hasPart
http://dbpedia.org/ontology/communityIsoCode,http://dbpedia.org/ontology/isoCode,communityIsoCode,isoCode
http://dbpedia.org/ontology/competition,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isParticipantIn,competition,DUL.owl#isParticipantIn
http://dbpedia.org/ontology/compiler,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith,compiler,DUL.owl#coparticipatesWith
http://dbpedia.org/ontology/complexion,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasQuality,complexion,DUL.owl#hasQuality
http://dbpedia.org/ontology/component,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasComponent,component,DUL.owl#hasComponent
http://dbpedia.org/ontology/computingInput,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith,computingInput,DUL.owl#coparticipatesWith
http://dbpedia.org/ontology/computingMedia,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith,computingMedia,DUL.owl#coparticipatesWith
http://dbpedia.org/ontology/connotation,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs,connotation,DUL.owl#sameSettingAs
http://dbpedia.org/ontology/constellation,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasPart,constellation,DUL.owl#hasPart
http://dbpedia.org/ontology/construction,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs,construction,DUL.owl#sameSettingAs
http://dbpedia.org/ontology/continent,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isPartOf,continent,DUL.owl#isPartOf
http://dbpedia.org/ontology/contractor,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith,contractor,DUL.owl#coparticipatesWith
http://dbpedia.org/ontology/costumeDesigner,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith,costumeDesigner,DUL.owl#coparticipatesWith
http://dbpedia.org/ontology/crew,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith,crew,DUL.owl#coparticipatesWith
http://dbpedia.org/ontology/cultivatedVariety,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isSpecializedBy,cultivatedVariety,DUL.owl#isSpecializedBy
http://dbpedia.org/ontology/currentTeamMember,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasMember,currentTeamMember,DUL.owl#hasMember
http://dbpedia.org/ontology/currentWorldChampion,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasParticipant,currentWorldChampion,DUL.owl#hasParticipant
http://dbpedia.org/ontology/custodian,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith,custodian,DUL.owl#coparticipatesWith
http://dbpedia.org/ontology/daira,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasLocation,daira,DUL.owl#hasLocation
http://dbpedia.org/ontology/daylightSavingTimeZone,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isPartOf,daylightSavingTimeZone,DUL.owl#isPartOf
http://dbpedia.org/ontology/deanery,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isPartOf,deanery,DUL.owl#isPartOf
http://dbpedia.org/ontology/delegateMayor,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs,delegateMayor,DUL.owl#sameSettingAs
http://dbpedia.org/ontology/dfE,http://dbpedia.org/ontology/code,dfE,code
http://dbpedia.org/ontology/disciple,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs,disciple,DUL.owl#sameSettingAs
http://dbpedia.org/ontology/distanceToCapital,http://dbpedia.org/ontology/Distance,distanceToCapital,Distance
http://dbpedia.org/ontology/drama,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isParticipantIn,drama,DUL.owl#isParticipantIn
http://dbpedia.org/ontology/dubber,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith,dubber,DUL.owl#coparticipatesWith
http://dbpedia.org/ontology/dutchArtworkCode,http://dbpedia.org/ontology/code,dutchArtworkCode,code
http://dbpedia.org/ontology/dutchMIPCode,http://dbpedia.org/ontology/Code,dutchMIPCode,Code
http://dbpedia.org/ontology/dutchNAIdentifier,http://dbpedia.org/ontology/code,dutchNAIdentifier,code
http://dbpedia.org/ontology/dutchPPNCode,http://dbpedia.org/ontology/code,dutchPPNCode,code
http://dbpedia.org/ontology/dutchWinkelID,http://dbpedia.org/ontology/code,dutchWinkelID,code
http://dbpedia.org/ontology/eastPlace,http://dbpedia.org/ontology/closeTo,eastPlace,closeTo
http://dbpedia.org/ontology/ekatteCode,http://dbpedia.org/ontology/codeSettlement,ekatteCode,codeSettlement
http://dbpedia.org/ontology/elementAbove,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs,elementAbove,DUL.owl#sameSettingAs
http://dbpedia.org/ontology/emmyAward,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith,emmyAward,DUL.owl#coparticipatesWith
http://dbpedia.org/ontology/endPoint,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasCommonBoundary,endPoint,DUL.owl#hasCommonBoundary
http://dbpedia.org/ontology/enemy,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith,enemy,DUL.owl#coparticipatesWith
http://dbpedia.org/ontology/enshrinedDeity,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isLocationOf,enshrinedDeity,DUL.owl#isLocationOf
http://dbpedia.org/ontology/entourage,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs,entourage,DUL.owl#sameSettingAs
http://dbpedia.org/ontology/ethnicity,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isMemberOf,ethnicity,DUL.owl#isMemberOf
http://dbpedia.org/ontology/executiveHeadteacher,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith,executiveHeadteacher,DUL.owl#coparticipatesWith
http://dbpedia.org/ontology/explorer,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith,explorer,DUL.owl#coparticipatesWith
http://dbpedia.org/ontology/features,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasPart,features,DUL.owl#hasPart
http://dbpedia.org/ontology/featuring,http://dbpedia.org/ontology/artist,featuring,artist
http://dbpedia.org/ontology/film,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasPart,film,DUL.owl#hasPart
http://dbpedia.org/ontology/filmFareAward,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith,filmFareAward,DUL.owl#coparticipatesWith
