"superclass","subclass"
"http://dbpedia.org/ontology/Building","http://dbpedia.org/ontology/ReligiousBuilding"
"http://dbpedia.org/ontology/Building","http://dbpedia.org/ontology/Restaurant"
"http://dbpedia.org/ontology/Building","http://dbpedia.org/ontology/ShoppingMall"
"http://dbpedia.org/ontology/Building","http://dbpedia.org/ontology/Skyscraper"
"http://dbpedia.org/ontology/Building","http://dbpedia.org/ontology/Venue"
"http://dbpedia.org/ontology/Camera","http://dbpedia.org/ontology/DigitalCamera"
"http://dbpedia.org/ontology/CareerStation","http://dbpedia.org/ontology/MilitaryService"
"http://dbpedia.org/ontology/Cartoon","http://dbpedia.org/ontology/Anime"
"http://dbpedia.org/ontology/Cartoon","http://dbpedia.org/ontology/HollywoodCartoon"
"http://dbpedia.org/ontology/Case","http://dbpedia.org/ontology/LegalCase"
"http://dbpedia.org/ontology/CelestialBody","http://dbpedia.org/ontology/Asteroid"
"http://dbpedia.org/ontology/CelestialBody","http://dbpedia.org/ontology/Constellation"
"http://dbpedia.org/ontology/CelestialBody","http://dbpedia.org/ontology/Galaxy"
"http://dbpedia.org/ontology/CelestialBody","http://dbpedia.org/ontology/Nebula"
"http://dbpedia.org/ontology/CelestialBody","http://dbpedia.org/ontology/Planet"
"http://dbpedia.org/ontology/CelestialBody","http://dbpedia.org/ontology/Satellite"
"http://dbpedia.org/ontology/CelestialBody","http://dbpedia.org/ontology/Star"
"http://dbpedia.org/ontology/CelestialBody","http://dbpedia.org/ontology/Swarm"
"http://dbpedia.org/ontology/ChemicalSubstance","http://dbpedia.org/ontology/ChemicalCompound"
"http://dbpedia.org/ontology/ChemicalSubstance","http://dbpedia.org/ontology/ChemicalElement"
"http://dbpedia.org/ontology/ChemicalSubstance","http://dbpedia.org/ontology/Drug"
"http://dbpedia.org/ontology/ChemicalSubstance","http://dbpedia.org/ontology/Mineral"
"http://dbpedia.org/ontology/ChristianBishop","http://dbpedia.org/ontology/Archbishop"
"http://dbpedia.org/ontology/City","http://dbpedia.org/ontology/Capital"
"http://dbpedia.org/ontology/City","http://dbpedia.org/ontology/CapitalOfRegion"
"http://dbpedia.org/ontology/Cleric","http://dbpedia.org/ontology/Cardinal"
"http://dbpedia.org/ontology/Cleric","http://dbpedia.org/ontology/ChristianBishop"
"http://dbpedia.org/ontology/Cleric","http://dbpedia.org/ontology/ChristianPatriarch"
"http://dbpedia.org/ontology/Cleric","http://dbpedia.org/ontology/Pope"
"http://dbpedia.org/ontology/Cleric","http://dbpedia.org/ontology/Priest"
"http://dbpedia.org/ontology/Cleric","http://dbpedia.org/ontology/Saint"
"http://dbpedia.org/ontology/Cleric","http://dbpedia.org/ontology/Vicar"
"http://dbpedia.org/ontology/ClericalAdministrativeRegion","http://dbpedia.org/ontology/Deanery"
"http://dbpedia.org/ontology/ClericalAdministrativeRegion","http://dbpedia.org/ontology/Diocese"
"http://dbpedia.org/ontology/ClericalAdministrativeRegion","http://dbpedia.org/ontology/Parish"
"http://dbpedia.org/ontology/Coach","http://dbpedia.org/ontology/AmericanFootballCoach"
