superclass,subclass,last_word_superclass,last_word_subclass
http://dbpedia.org/ontology/Biomolecule,http://dbpedia.org/ontology/ہارمون,Biomolecule,ہارمون
http://dbpedia.org/ontology/BodyOfWater,http://dbpedia.org/ontology/Bay,BodyOfWater,Bay
http://dbpedia.org/ontology/BodyOfWater,http://dbpedia.org/ontology/Lake,BodyOfWater,Lake
http://dbpedia.org/ontology/BodyOfWater,http://dbpedia.org/ontology/Ocean,BodyOfWater,Ocean
http://dbpedia.org/ontology/BodyOfWater,http://dbpedia.org/ontology/Sea,BodyOfWater,Sea
http://dbpedia.org/ontology/BodyOfWater,http://dbpedia.org/ontology/Stream,BodyOfWater,Stream
http://dbpedia.org/ontology/Boxer,http://dbpedia.org/ontology/AmateurBoxer,Boxer,AmateurBoxer
http://dbpedia.org/ontology/BritishRoyalty,http://dbpedia.org/ontology/Baronet,BritishRoyalty,Baronet
http://dbpedia.org/ontology/Broadcaster,http://dbpedia.org/ontology/BroadcastNetwork,Broadcaster,BroadcastNetwork
http://dbpedia.org/ontology/Broadcaster,http://dbpedia.org/ontology/RadioStation,Broadcaster,RadioStation
http://dbpedia.org/ontology/Broadcaster,http://dbpedia.org/ontology/TelevisionStation,Broadcaster,TelevisionStation
http://dbpedia.org/ontology/Building,http://dbpedia.org/ontology/Casino,Building,Casino
http://dbpedia.org/ontology/Building,http://dbpedia.org/ontology/Castle,Building,Castle
http://dbpedia.org/ontology/Building,http://dbpedia.org/ontology/Factory,Building,Factory
http://dbpedia.org/ontology/Building,http://dbpedia.org/ontology/HistoricBuilding,Building,HistoricBuilding
http://dbpedia.org/ontology/Building,http://dbpedia.org/ontology/Hotel,Building,Hotel
http://dbpedia.org/ontology/Building,http://dbpedia.org/ontology/Museum,Building,Museum
http://dbpedia.org/ontology/Building,http://dbpedia.org/ontology/Prison,Building,Prison
http://dbpedia.org/ontology/Building,http://dbpedia.org/ontology/ReligiousBuilding,Building,ReligiousBuilding
http://dbpedia.org/ontology/Building,http://dbpedia.org/ontology/Restaurant,Building,Restaurant
http://dbpedia.org/ontology/Building,http://dbpedia.org/ontology/ShoppingMall,Building,ShoppingMall
http://dbpedia.org/ontology/Building,http://dbpedia.org/ontology/Skyscraper,Building,Skyscraper
http://dbpedia.org/ontology/Building,http://dbpedia.org/ontology/Venue,Building,Venue
http://dbpedia.org/ontology/Camera,http://dbpedia.org/ontology/DigitalCamera,Camera,DigitalCamera
http://dbpedia.org/ontology/CareerStation,http://dbpedia.org/ontology/MilitaryService,CareerStation,MilitaryService
http://dbpedia.org/ontology/Cartoon,http://dbpedia.org/ontology/Anime,Cartoon,Anime
http://dbpedia.org/ontology/Cartoon,http://dbpedia.org/ontology/HollywoodCartoon,Cartoon,HollywoodCartoon
http://dbpedia.org/ontology/Case,http://dbpedia.org/ontology/LegalCase,Case,LegalCase
http://dbpedia.org/ontology/CelestialBody,http://dbpedia.org/ontology/Asteroid,CelestialBody,Asteroid
http://dbpedia.org/ontology/CelestialBody,http://dbpedia.org/ontology/Constellation,CelestialBody,Constellation
http://dbpedia.org/ontology/CelestialBody,http://dbpedia.org/ontology/Galaxy,CelestialBody,Galaxy
http://dbpedia.org/ontology/CelestialBody,http://dbpedia.org/ontology/Nebula,CelestialBody,Nebula
http://dbpedia.org/ontology/CelestialBody,http://dbpedia.org/ontology/Planet,CelestialBody,Planet
http://dbpedia.org/ontology/CelestialBody,http://dbpedia.org/ontology/Satellite,CelestialBody,Satellite
http://dbpedia.org/ontology/CelestialBody,http://dbpedia.org/ontology/Star,CelestialBody,Star
http://dbpedia.org/ontology/CelestialBody,http://dbpedia.org/ontology/Swarm,CelestialBody,Swarm
http://dbpedia.org/ontology/ChemicalSubstance,http://dbpedia.org/ontology/ChemicalCompound,ChemicalSubstance,ChemicalCompound
http://dbpedia.org/ontology/ChemicalSubstance,http://dbpedia.org/ontology/ChemicalElement,ChemicalSubstance,ChemicalElement
http://dbpedia.org/ontology/ChemicalSubstance,http://dbpedia.org/ontology/Drug,ChemicalSubstance,Drug
http://dbpedia.org/ontology/ChemicalSubstance,http://dbpedia.org/ontology/Mineral,ChemicalSubstance,Mineral
http://dbpedia.org/ontology/ChristianBishop,http://dbpedia.org/ontology/Archbishop,ChristianBishop,Archbishop
http://dbpedia.org/ontology/City,http://dbpedia.org/ontology/Capital,City,Capital
http://dbpedia.org/ontology/City,http://dbpedia.org/ontology/CapitalOfRegion,City,CapitalOfRegion
http://dbpedia.org/ontology/Cleric,http://dbpedia.org/ontology/Cardinal,Cleric,Cardinal
